order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | SELL_STRATEGY1
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | Order sent(SELL_STRATEGY1): Sell EURUSD Magic #112403
order | ProfessionalTrader @ EURUSD,60 | Orders closed by duration: EURUSD Magic #112403
order | ProfessionalTrader @ EURUSD,60 | Order sent(SELL_STRATEGY1): Sell EURUSD Magic #112403
order | ProfessionalTrader @ EURUSD,60 | Orders closed by duration: EURUSD Magic #112403
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ AUDUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
order | ProfessionalTrader @ EURUSD,60 | 
